"спорт";1;5;8907576;303099
"лыжный спорт";2;12;150531;12051
"порно спорт";2;11;44621;15785
"спорт ру";2;8;67754;21032
"спорт уикенд";2;12;19342;14721
"кровавый спорт";2;14;99942;15931
"мой спорт";2;9;8919076;12111
"триал спорт";2;11;261332;87647
"виды спорта";2;11;895675;17258
"яндекс спорт";2;12;53999;32043
"спорт порно";2;11;45174;15887
"новости спорта";2;14;378116;183409
"спорт яндекс";2;12;54320;32297
"результаты спорта";2;17;58483;12534
"советский спорт";2;15;49614;23738
"спорт экспресс";2;14;679512;517410
"спорт вокруг";2;12;25447;11715
"кинаш спорт";2;11;9289;5550
"спорт это";2;9;8907576;6291
"окко спорт";2;10;19009;7442
"виста спорт";2;11;13453;6175
"спорт 24";2;8;23918;6788
"алтайский спорт";2;15;10550;5860
"онлайн спорт";2;12;141731;10987
"спорт 3";2;7;117209;7258
"арт спорт";2;9;22353;9505
"сетанта спорт";2;13;70566;6628
"спорт новости";2;13;380344;11027
"спорт онлайн";2;12;141343;10871
"риттер спорт";2;12;43411;6145
"спорт кз";2;8;16791;9340
"новости спорт";2;13;378116;11070
"результаты спорт";2;16;58483;5373
"спорт пари";2;10;9464;3588
"спорт депо";2;10;6568;3846
"спорт хоккей";2;12;52370;3881
"гранта спорт";2;12;50130;3749
"конный спорт";2;12;85573;3877
"арта спорт";2;10;22345;3691
"секс спорт";2;10;23512;5120
"спорт сегодня";2;13;110517;3878
"паджеро спорт";2;13;250234;4299
"патриот спорт";2;13;22418;3874
"спорт секс";2;10;23594;5131
"спорт футбол";2;12;101589;4307
"лайф спорт";2;10;12303;3717
"включи спорт";2;12;32763;4054
"спорт результаты";2;16;58241;5346
"ювента спорт";2;12;8202;3553
"гиревой спорт";2;13;34766;2486
"весь спорт";2;10;9135096;2898
"министерство спорта";2;19;85595;3302
"лайв спорт";2;10;6594;2781
"дворец спорта";2;13;184327;3188
"веста спорт";2;11;31410;2499
"спорт плюс";2;10;20506;3499
"планета спорт";2;13;33030;3240
"голый спорт";2;11;13371;3445
"спорт тв";2;8;44632;2934
"конькобежный спорт";2;18;43556;3531
"умный спорт";2;11;10112;3457
"спорт лайв";2;10;6646;2680
"кинопоиск спорт";2;15;4904;3364
"поволжье спорт";2;14;12638;3540
"непредвзятый спорт";2;18;5367;2404
"гейм спорт";2;10;6703;1893
"картинки спорт";2;14;47334;2010
"спорт сити";2;10;13107;2102
"спорт картинки";2;14;44654;1978
"санный спорт";2;12;10216;2057
"рдш спорт";2;9;4890;1899
"прайм спорт";2;11;12283;2259
"сити спорт";2;10;13153;2084
"академия спорта";2;15;25303;2170
"аирсофт спорт";2;13;2294;2019
"спорт 42";2;8;5411;2293
"чир спорт";2;9;24390;2210
"калина спорт";2;12;31432;1959
"спорт подмосковья";2;17;5488;2136
"рэй спорт";2;9;7535;2348
"спорт рдш";2;9;4881;1833
"лидер спорт";2;11;8201;1488
"фиджитал спорт";2;14;4595;1514
"про спорт";2;9;195056;1578
"спорт бизнес";2;12;23106;1506
"страйкбол спорт";2;15;2251;1534
"бизнес спорт";2;12;23245;1495
"спорт бокс";2;10;26758;1736
