"Ключевое слово";"Слов";"Символов";"Частотность Весь мир";"""!Частотность !Весь !мир"""
"наука";1;5;4726562;18883
"чудеса науки";2;12;10516;1843
"наука оренбург";2;14;13560;2553
"новости науки";2;13;20122;4992
"виды наук";2;9;37232;2349
"наука самара";2;12;21513;2605
"точные науки";2;12;23657;1858
"наука рф";2;8;64025;7550
"академия наук";2;13;173735;3067
"функции науки";2;13;63004;5940
"науки";1;5;4726561;2579
"наука это";2;9;4726562;12499
"естественные науки";2;18;84110;6696
"гранит науки";2;12;13774;2172
"гуманитарные науки";2;18;104225;5634
"день науки";2;10;496158;21531
"кандидат наук";2;13;107220;1529
"общественные науки";2;18;49329;837
"наука лаборатория";2;17;18373;916
"науки виды";2;10;34797;1031
"лаборатория наука";2;17;18373;916
"нпо наука";2;9;6141;994
"биологические науки";2;19;35983;848
"жк наука";2;8;3668;1310
"наука побеждать";2;15;11356;1029
"признаки науки";2;14;29565;1064
"доктор наук";2;11;101347;984
"классификация наук";2;18;17200;1339
"виды науки";2;10;37232;1124
"иванова наука";2;13;12703;856
"технические науки";2;17;44277;1049
"российская наука";2;16;418021;1421
"канал наука";2;11;11260;804
"пернатая наука";2;14;1090;593
"наука ульяновск";2;15;5624;647
"план наука";2;10;26877;697
"фундаментальные науки";2;21;16991;641
"наука план";2;10;27201;671
"неделя науки";2;12;23220;619
"наука издательство";2;18;8173;773
"наука синоним";2;13;2937;676
"наука картинки";2;14;33320;739
"синоним наука";2;13;2898;669
"издательство наука";2;18;8304;780
"картинки наука";2;14;33539;751
"деятели науки";2;13;24576;627
"социальные науки";2;16;115014;704
"прикладные науки";2;16;18056;784
"новая наука";2;11;60619;592
"наука рисунок";2;13;37395;512
"программа наука";2;15;24658;529
"наука новости";2;13;20122;553
"наука программа";2;15;25027;528
"телеканал наука";2;15;2951;538
"рисунок наука";2;13;37246;514
"история наука";2;13;120342;585
"новости наука";2;13;20122;553
"философия науки";2;15;91791;581
"редакция наука";2;14;5593;537
"наука определение";2;17;34269;589
